Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.256	60.3583	114.795
103.256	60.367	114.994
103.256	60.3756	115.193
103.256	60.3842	115.393
103.256	60.3929	115.592
103.256	60.4015	115.792
103.256	60.4102	115.992
103.256	60.4188	116.192
103.256	60.4275	116.392
103.256	60.4361	116.592
103.256	60.4448	116.792
103.256	60.4534	116.993
103.256	60.462	117.193
103.256	60.4707	117.394
103.256	60.4793	117.595
103.256	60.488	117.796
103.256	60.4966	117.998
103.256	60.5052	118.199
103.256	60.5139	118.401
103.256	60.5225	118.602
103.256	60.5312	118.804
103.256	60.5398	119.006
103.256	60.5484	119.208
103.256	60.5571	119.411
103.256	60.5657	119.613
103.256	60.5743	119.816
103.256	60.583	120.018
103.256	60.5916	120.221
103.256	60.6002	120.424
103.256	60.6089	120.628
103.256	60.6175	120.831
103.256	60.6261	121.034
103.256	60.6348	121.238
103.256	60.6434	121.442
103.256	60.652	121.646
103.256	60.6607	121.85
103.256	60.6693	122.054
103.256	60.6779	122.258
103.256	60.6865	122.463
103.256	60.6952	122.668
103.256	60.7038	122.872
103.256	59.8007	109.265
103.256	59.8094	109.464
103.256	59.818	109.662
103.256	59.8267	109.86
103.256	59.8354	110.059
103.256	59.844	110.257
103.256	59.8527	110.456
103.256	59.8613	110.655
103.256	59.87	110.854
103.256	59.8786	111.053
103.256	59.8873	111.253
103.256	59.8959	111.452
103.256	59.9046	111.652
103.256	59.9132	111.852
103.256	59.9219	112.052
103.256	59.9305	112.252
103.256	59.9392	112.452
103.256	59.9478	112.653
103.256	59.9565	112.853
103.256	59.9651	113.054
103.256	59.9738	113.255
103.256	59.9824	113.456
103.256	59.9911	113.657
103.256	59.9997	113.858
103.256	60.0084	114.06
103.256	60.017	114.262
103.256	60.0256	114.463
103.256	60.0343	114.665
103.256	60.0429	114.867
103.256	60.0516	115.069
103.256	60.0602	115.272
103.256	60.0688	115.474
103.256	60.0775	115.677
103.256	60.0861	115.88
103.256	60.0948	116.083
103.256	60.1034	116.286
103.256	60.112	116.489
103.256	60.1207	116.692
103.256	60.1293	116.896
103.256	60.138	117.1
103.256	60.1466	117.304
103.256	60.1552	117.507
103.256	60.1639	117.712
103.256	60.1725	117.916
103.256	60.1811	118.12
103.256	60.1898	118.325
103.256	60.1984	118.53
103.256	60.207	118.734
103.256	60.2157	118.939
103.256	60.2243	119.145
103.256	60.2329	119.35
103.256	60.2415	119.555
103.256	60.2502	119.761
103.256	60.2588	119.967
103.256	60.2674	120.173
103.256	60.2761	120.379
103.256	60.2847	120.585
103.256	60.2933	120.791
103.256	60.3019	120.998
103.256	60.3106	121.204
103.256	60.3192	121.411
103.256	60.3278	121.618
103.256	60.3364	121.825
103.256	60.3451	122.032
103.256	60.3537	122.24
103.256	60.3623	122.447
103.256	60.3709	122.655
103.256	60.3796	122.863
103.256	60.3882	123.071
103.256	60.3968	123.279
103.256	60.4054	123.487
103.256	59.5033	109.237
103.256	59.512	109.439
103.256	59.5206	109.64
103.256	59.5293	109.842
103.256	59.5379	110.044
103.256	59.5466	110.246
103.256	59.5552	110.449
103.256	59.5639	110.651
103.256	59.5725	110.854
103.256	59.5812	111.056
103.256	59.5898	111.259
103.256	59.5985	111.462
103.256	59.6071	111.665
103.256	59.6158	111.869
103.256	59.6244	112.072
103.256	59.633	112.276
103.256	59.6417	112.48
103.256	59.6503	112.683
103.256	59.659	112.887
103.256	59.6676	113.092
103.256	59.6763	113.296
103.256	59.6849	113.5
103.256	59.6935	113.705
103.256	59.7022	113.91
103.256	59.7108	114.115
103.256	59.7194	114.32
103.256	59.7281	114.525
103.256	59.7367	114.731
103.256	59.7454	114.936
103.256	59.754	115.142
103.256	59.7626	115.348
103.256	59.7713	115.553
103.256	59.7799	115.76
103.256	59.7885	115.966
103.256	59.7972	116.172
103.256	59.8058	116.379
103.256	59.8144	116.586
103.256	59.8231	116.792
103.256	59.8317	116.999
103.256	59.8403	117.206
103.256	59.8489	117.414
103.256	59.8576	117.621
103.256	59.8662	117.829
103.256	59.8748	118.037
103.256	59.8835	118.244
103.256	59.8921	118.452
103.256	59.9007	118.661
103.256	59.9093	118.869
103.256	59.918	119.077
103.256	59.9266	119.286
103.256	59.9352	119.495
103.256	59.9438	119.704
103.256	59.9525	119.913
103.256	59.9611	120.122
103.256	59.9697	120.331
103.256	59.9783	120.541
103.256	59.9869	120.75
103.256	59.9956	120.96
103.256	60.0042	121.17
103.256	60.0128	121.38
103.256	60.0214	121.59
103.256	60.03	121.801
