Longitude(deg)	Lattitude(deg)	Alttitude(km)
102.691	52.8917	1.27633
102.676	52.8919	1.29982
102.661	52.8921	1.32346
102.646	52.8924	1.34726
102.631	52.8926	1.37122
102.616	52.8929	1.39533
102.601	52.8931	1.4196
102.587	52.8933	1.44402
102.572	52.8936	1.4686
102.557	52.8938	1.49334
102.542	52.894	1.51824
102.527	52.8942	1.54329
102.512	52.8944	1.5685
102.497	52.8947	1.59386
102.482	52.8949	1.61938
102.468	52.8951	1.64506
102.453	52.8953	1.6709
102.438	52.8955	1.69689
102.423	52.8957	1.72304
102.408	52.8959	1.74934
102.393	52.8962	1.7758
102.378	52.8964	1.80242
102.363	52.8966	1.8292
102.349	52.8968	1.85613
102.334	52.897	1.88322
102.319	52.8972	1.91046
102.304	52.8974	1.93786
102.289	52.8975	1.96542
102.274	52.8977	1.99314
102.259	52.8979	2.02101
